title	type	url_slug	venue	date	location	talk_url	description

"The Sound of Silencing: Identities and Ideologies in Commercial Text-To-Speech"	WIP talk	talk-13	"The Centre for Technomoral Futures"	04/03/2026	Edinburgh       

"Materiality of Data: Data gaps, data harms, and data work"	Guest lecture	talk-12	"Queen Margaret University"	05/02/2026	Edinburgh	Invited guest lecturer for 'AI in the Creative Industries' module 

"Jewish perspectives on AI"	Discussion	talk-11	"Newcastle Reform Synagogue"	12/01/2026	Newcastle upon Tyne     

"Gender and the Machine: Trans Tech, Emotion and AI"	Panel discussion	talk-10	"AI Ethics and Society, The University of Edinburgh"	20/11/2025	Edinburgh	Chaired discussion with Dr. Nazanin Andalibi and Dr. Oliver Haimson on the realities of doing gender, emotion and AI work		

"Gender, style-shifting and authenticity in speech: insights from trans speakers"	Talk	talk-1	"Language Variation and Change Research Group, The University of Edinburgh"	2025-10-13	Edinburgh		

Identity and ideology in commercial TTS	Talk	talk-2	"Division of Speech, Music and Hearing (TMH) Seminar at KTH Royal Institute of Technology"	2025-09-17	Stockholm		

Conveying gender through speech: insights from trans men	Conference proceedings talk	talk-3	"Lavender Languages and Linguistics 31, Manchester Metropolitan University"	2025-08-21	Manchester		

Conveying gender through speech: insights from trans men	Conference proceedings talk	talk-4	Interspeech Special Session on Queer and Trans Speech Science and Technology	2025-08-18	Rotterdam		With Cliodhna Hughes

Ideology and discrimination in commercial text-to-speech	Talk	talk-5	"Center for Humans and Machines lab, Max-Planck-Institut für Bildungsforschung"	2025-08-06	Berlin		

Conveying gender through speech: insights from trans men	Conference proceedings talk	talk-6	"UK and Ireland Speech, University of York"	2025-06-16	York		

Speaking Out: Three projects related to speech and gender	Talk	talk-7	"Centre for Speech Technology Research Talks, University of Edinburgh"	2025-05-26	Edinburgh		

Beyond the binary: Limitations and possibilities of gender-related speech technology research	Talk	talk-8	"Gender and Social Cognition reading group, University of Edinburgh"	2025-04-14	Edinburgh		With Ariadna Sanchez    

"Ideology, power and bias in the design of 'human-like' synthetic speech"	Poster	talk-9	"ISCA/ITG Workshop on Diversity in Large Speech and Language Models, Humboldt-Universität zu Berlin, Technische Universität Berlin and German Center for Artificial Intelligence (DFKI) Berlin"	2025-02-20	Berlin		
